意图	语料
酒店	游玩结束后我想找一家价格在200-300元的，有宽带上网服务的经济型酒店住宿，给我推荐一家吧。
酒店	这家酒店的周边有哪些餐馆啊？
酒店	酒店的电话是多少啊？
地铁	我要从故宫乘坐地铁到中安之家连锁(北京中安宾馆)，请告诉我出发地和目的地附近的地铁站。
thank	好的，谢谢你了啊。
景点	你好亲，这几天打算外出游玩1小时，您能否帮我找个免费的景点呢？
景点	好呀，正好没去过。给我留个养心殿电话吧，亲。
景点	嗯嗯，我保存了。对了，那儿的评分怎么样？
酒店	你也很棒，谢谢。然后玩完我想找个高档的酒店办入住，如果能提供接机服务就再好不过啦，您觉得哪里好呢？
酒店	好呀，太棒了，谢谢。另外麻烦您把酒店地址发给我吧。
酒店	嗯呢，好。最后我还想了解下酒店的评分如何，麻烦您了。
thank	很好，我很满意。谢谢亲的帮助。
景点	你好，可以帮我找一个游玩时长是2小时 - 4小时，票价是20元以下的景点吗？
景点	可以啊，帮我查一下这个景点的地址和评分呗。
餐馆	好的，溜达完以后我需要吃点东西，可以帮我挑选一个评分是5分，能吃到全聚德精品烤鸭的餐馆吗？
餐馆	是吗，那就去这家吃好了，你知道它家周边还有哪些其他餐馆吗？
餐馆	不错哦，那你知道这个餐馆的电话是多少吗？
餐馆	收到，一个地方没吃好，我打算在这个餐馆周边另找一个评分是4分以上，人均消费是100-150元，能吃到京八件和皇坛子的餐馆接着吃，有什么好的地方推荐吗？
餐馆	是吗，那太好了，就去它家吃了，它家周边有酒店吗？
酒店	好的，吃完饭，你再帮我找个价格是100-200元，提供商务中心和会议室的酒店好吗？
酒店	太好了，就去这里了，知道它家周边有啥好吃的餐馆吗？
出租	哦，哪算了吧，我现在想呼叫从北海公园到贯通现代酒店(北京国展店)的出租车，你知道这个出租的车型和车牌吗？
thank	收到，非常感谢！
酒店	您好呀，我从外地出差来这里，要找个酒店。想要评分是4分以上，提供24小时热水和无烟房。
酒店	行，告诉我一下北京鹏润国际大酒店的地址。
餐馆	住的解决了，再帮找找吃的地方，想找个餐馆人均消费是150-500元的，想吃的菜肴眉州东坡烤鸭
餐馆	好啊，省钱还能吃到想吃的菜，再帮我看看它周边的酒店吧。
出租	好的，最后帮我看看，从北京鹏润国际大酒店到眉州东坡(顺义店)，坐出租车，车型和车牌都是多少。
thank	好的，谢谢，没有问题了。
thank	您好，明天公司领导要来视察工作，需要找一家高档型的、评分是4.5分以上、提供洗衣服务、提供叫醒服务的酒店，安排领导住下，求推荐，并告诉我酒店的价格和周边餐馆，谢谢。
景点	不错，领导特别说要去中国画研究院展览馆看看，请问这个景点能看多久呢？
餐馆	好的。回来后要找个餐馆和领导一起吃个饭，推荐一家评分是4.5分以上的吧，告诉我地址，看看周边还有什么景点吗？
地铁	领导倡导绿色出行，想坐地铁，请问从中国画研究院展览馆到全聚德烤鸭店(清华园店) ，这两个地方的地铁站分别是什么？
thank	谢谢！没有问题了，再见！
餐馆	我要去刘家老店用餐，请告诉我这家餐馆的人均消费是多少钱？
餐馆	餐馆的周边有哪些景点啊？
thank	好的，谢谢你了。
餐馆	在吗，我想找一个餐馆吃饭，能帮我推荐一个人均消费是50-100元的餐馆吗？
餐馆	嗯，我希望餐馆评分在4分以上，这两家餐馆满足这个要去吗？
餐馆	好的，这家餐馆在哪儿啊？
餐馆	那离我不是很远，我这人比较挑剔，这家餐馆周边还有没有其他风味的餐馆啊？
酒店	太棒了，吃完饭我得找地方休息，有没有最低价格是400-500元，能打国际长途电话的酒店给我推荐一个。
酒店	这么好啊，北京辰茂鸿翔酒店的电话是多少啊，我有事要咨询一下。
酒店	哦了，记下了，我这人特别爱玩，不知道酒店周边有没有好玩的地方呢？
thank	那可真是有点遗憾呢，我没问题了，谢谢你呀！
餐馆	你好，我想请好朋友吃饭。他爱吃烤腰子，帮我找一家评分是4.5分以上，人均消费是50-100元的餐馆吃饭吧。
餐馆	太好了啊。满恒记火锅的地址是什么啊
景点	嗯呢。吃完饭再请他去景点游玩下。帮我推荐一个票价是100-150元的，游玩的时长是1小时 - 2小时的景点吧。
景点	恩。长城脚下的公社的附近有哪些好玩的景？
景点	好的啊。这个景点的周边有哪些美味的餐馆啊？
景点	没关系。游玩结束还想去别的景点看看。在长城脚下的公社的周边景点里，哪个的评分是5分并且票价是免费的啊？
景点	嗯呢，可以的。中国长城博物馆的附近有啥好点的酒店吗？累了就去酒店休息了。
景点	哦哦。这个景点的电话是什么啊？提前了解下里面的情况。
thank	好的。非常感谢啊。
餐馆	你好，我想去吃饭。请帮我找一家人均消费是50-100元的评分是4.5分以上的餐馆。
餐馆	好的。豪尚豪牛排馆(华联天通苑太平兴园店)这家餐馆的推荐菜都有哪些啊？
餐馆	嗯呢。这家餐馆的营业时间是怎样的？我看看 啥时候去合适。
餐馆	恩？那具体的时间是怎样的？
酒店	好的。吃完饭想好好休息下。请帮我找一家最低价格是1000元以上的酒店。
酒店	好的。北京华风宾馆的酒店类型是什么啊？
酒店	嗯。这家酒店的周边有哪些值得一去的景点吗？
景点	嗯呢。休息好了想去游玩。请帮我找一个游玩的时长是3天 - 6天，评分是4分以上的票价免费的景点。
景点	嗯呢。十渡风景名胜区这个景点的地址是什么。我看下位置。
景点	恩。这个景点游玩结束。还想去别的景点玩。请帮我找一家评分是5分的门票免费的景点。
景点	好的。团城演武厅这个景点的地址是什么？
thank	嗯呢，太感谢了。
餐馆	你好，我想去思陵国艳烙糕宴的餐馆吃饭，你知道餐馆的电话吗？
餐馆	行，我记一下，他家的评分是几分啊？
酒店	那还行啊，不低呢，吃的地方搞定了，你得找个地方住啊，要最低价格是400-500元的，有吹风机，会议室服务的，你帮我找找呗。
酒店	我还是选北京前门建国饭店吧，你把他家的地址给我吧。
景点	好的，这下不怕找不到了，住的地方也找好 了，接下来你给我找一个评分是4.5分以上的，可以玩3小时的景点，你看看推荐一下吧！
景点	好呀，这个景点在什么位置呀？
出租	收到，我现在想呼叫从思陵国艳烙糕宴到角楼的出租车，能帮我查一下这个出租的车型和车牌吗？
thank	OK，非常感谢！
thank	您好， 请帮我推荐一个游玩的时长是1小时 - 2小时、评分是5分的景点，我想知道景点电话和它的周边景点。谢谢。
酒店	记下了，然后我准备再找家提供早餐服务、提供洗衣服务的酒店住宿，帮我推荐一家就可以，告诉我它的评分和价格是多少？
餐馆	好的。我老婆想吃素三鲜了，帮忙找一家评分是4分以上的有这菜品的餐馆。
餐馆	好，营业时间呢？周边有什么景点吗？
thank	谢谢！没有问题了，再见！
景点	你好，我想去一个票价20-50元，游玩时长12小时 - 3天的景点游玩，有什么好的推荐吗？
餐馆	好的，户外景点我都喜欢，我就选择去居庸关长城吧！游玩之后准备大餐一顿，能帮我推荐一个评分4.5分以上，人均消费100-150元的餐馆吗？
餐馆	就选择庆云楼(什刹海店)吧，能帮我查一下地址吗？
餐馆	好的，记下了，这家餐馆周边还有其他餐馆吗？
地铁	这么多特色餐馆呀，我要从居庸关长城坐地铁到庆云楼(什刹海店)，起点和终点附近的地铁站都是什么？
酒店	没关系的，游玩回来后我想找一个最低价格400-500元的高档型酒店休息，有好一点的推荐吗？
酒店	我就选择泉谷酒店(北京天坛店)吧，这个酒店周边有哪些餐馆呢？
酒店	还不错哦，酒店周边景点有什么呢？
餐馆	也不错，我也好久没看书了，泉谷酒店(北京天坛店)周边的这些餐馆，哪家人均消费是150-500元的？
餐馆	可以，能帮我查一下滕牛自助烤肉周边还有哪些其他餐馆吗？
thank	收到，非常感谢呢！
景点	你好，我想找个能游玩2小时 - 3小时的景点，最好评分是5分，门票也不要太贵，100-150元的就可以。
景点	那太好了，周边有什么酒店么？去完景点我想就近住下！
thank	好的，非常感谢。我没有问题了！
景点	你好，能帮我安排一个游玩时长是2小时 - 3小时，评分是4.5分以上的景点吗？
景点	我觉得陶然亭公园应该挺好，就去这里吧，它周边都有什么酒店呀？
景点	嗯，好的，这里门票是多少钱呀？
酒店	我打算在景点附近找个最低价格100-200元的豪华型酒店住宿，给推荐一个呗！
酒店	好吧，酒店评分是多少？
酒店	分数挺高的，酒店周边有景点吗？
酒店	好的，我打算找一个评分是5分，最低价格是200-300元的酒店住宿，你有好的选择吗？
酒店	可以，酒店地址能发给我吗？
酒店	收到，酒店周边有景点吗？
景点	哦，怎么会这样呢，我打算在酒店附近找个评分是4.5分以上，票价免费的景点呢，你有啥好的建议没？
景点	好吧，那我去地坛公园银杏大道，这里电话你有吗？
景点	我记下了，该景点的游玩时间是多久啊？
thank	还行，散步是够用了，谢谢你啊！
thank	你好，帮我推荐一家人均消费在50-100元之间的并且有肉皮冻的餐馆，谢谢。
餐馆	锦绣湾饭庄的周边有啥餐馆和酒店吗？
餐馆	没关系，那就帮我推荐一个人均消费在100-150元之间的餐馆吧。
餐馆	好，同和居饭店的营业时间是几点到几点呢？周边有啥酒店没？
酒店	吃完饭我想找一个酒店入住，帮我推荐一个价格在200-300元之间的酒店，最好能提供吹风机和会议室的。
酒店	北京诚辉商务酒店的评分高吗？酒店地址在哪呢？
景点	我和女朋友准备去景点明十三陵，帮我查询下这个景点的电话和游玩时间。
thank	好的，谢谢。
餐馆	你好，我想找个餐馆，人均消费在100元以上，不超过150元的，最好评分在4.5分以上，有啥好主意么？
餐馆	好的，麻烦问下砂锅居（西四店）有啥推荐菜呢？
餐馆	收到，能再帮我看看这个餐馆周围有啥景点么？
thank	好的，非常感谢，辛苦啦！
酒店	你好，我要去Q加·北京乐酷花园主题酒店住宿，您能帮我查询下这个酒店的电话以及评分吗？
餐馆	好的，我和朋友要去吃香酥鸡米花，能帮我推荐一家人均消费在100-150元之间的餐馆吗，要评分在4.5分以上的那种餐馆。
餐馆	食柜美食城的地址在哪呢？
餐馆	这个餐馆的周边还有啥餐馆呢？
thank	好的，谢谢。
thank	你好，帮我推荐一个能提供接机服务和残疾人设施的高档型酒店，谢谢。
酒店	北京鑫海锦江大酒店的评分高吗？有酒店电话吗？
餐馆	好的，帮我推荐一个人均消费在100-150元之间的餐馆，我想吃的菜是牛肉大葱，要评分在4分以上的。
餐馆	行，褡裢火烧的附近有啥好玩的地方？
thank	好的，谢谢。
酒店	你好，我想带女朋友去一家评分4.5分以上的酒店住宿，给我推荐一家吧。
酒店	这家酒店什么类型啊，电话多少。
景点	我想找一个可以游玩时间2小时 - 4小时的景点游玩，给我推荐一个吧。
景点	这个景点的地址是在哪啊？
景点	景点的周边还有哪些别的好玩的景点啊？
餐馆	游玩结束后我想找一家评分4.5分以上人均消费150-500元的餐馆吃饭，给我推荐一家吧。
餐馆	这家餐馆的周边有哪些别的餐馆啊？
餐馆	餐馆的周边有哪些景点啊？
thank	好的，谢谢你了啊。
景点	你好，我想和我好朋友一起出去游玩，麻烦你帮我找个评分是4.5分以上的景点，我希望游玩的时长是1小时 - 2小时，时间太久的，我怕我们坚持不住。
景点	汉石桥湿地的附近有好吃的餐馆，我们出来旅游也想多吃点平时吃不到的美食。
餐馆	嗯，我好朋友突然很想吃豆皮，麻烦你帮我找个有这个菜的餐厅，我希望餐馆的人均消费是100-150元，评分是4.5分以上。
餐馆	好的呢，这个餐馆的营业时间是咋样的，我们别去错时间了。
酒店	嗯，出去玩肯定得住宿，麻烦你帮我们找个豪华型的酒店，我们希望酒店的评分是4.5分以上，最低价格是300-400元。
酒店	好的呢，那这家酒店的酒店设施是否包含酒店各处提供wifi、酒店设施是否包含室外游泳池？
酒店	嗯嗯，这个酒店的附近有可以转转的景点吗，没事的时候出去看看。
出租	哦，那从汉石桥湿地到北京世纪金源香山商旅酒店乘坐出租车的话，出租车的车型和车牌分别是什么？
thank	清楚了，谢谢你的解答。
thank	你好，帮我找一个4分以上，可以玩2小时 - 3小时，最好门票免费的景点，谢谢。
景点	就选北京自然博物馆吧，有地址吗？
景点	周边有什么酒店吗？
thank	好的，非常感谢，没有问题了。
酒店	您好，我想订一家提供吹风机，评分是5分、价格是200到300元的酒店有什么推荐吗？
酒店	这家酒店不太理想，还有其它的吗？
酒店	这个可以，酒店电话是多少？
景点	好，明天还想去玩玩，随便推荐一个评分是5分的景点吧。
景点	水立方嬉水乐园的电话是多少，想去这里玩。
餐馆	好的。我想吃山西过油肉，请帮我找一家评分是4分以上有这道菜的餐馆。
餐馆	全聚德烤鸭店(奥运村店)周边有什么酒店？地址在哪？
出租	麻烦您帮我叫一辆出租车，从水立方嬉水乐园到全聚德烤鸭店(奥运村店)，然后告诉我车型、车牌。
thank	谢谢！没有问题了，再见！
餐馆	白魁老号饭庄(安内店)，这家餐馆貌似挺火，能帮我查一下电话号码吗？人均消费是什么水平？
景点	好的，去尝尝。吃完饭能帮我找一个景点吗？要评分5分，能玩3天左右的免费景点。
景点	房山世界地质公园附近有哪些餐馆？周边有酒店可以住宿吗？
餐馆	那么在这些周边的餐馆里，有评分是5分的餐馆吗？
餐馆	潘大姐老菜馆电话给我一下，这家餐馆附近有什么景点可以玩的吗？
酒店	那最后再帮我找一个价格是600-700元，评分是5分的酒店。
酒店	如家商旅酒店(北京牡丹园地铁站店)电话给我一下，酒店周边吃饭方便吗？
thank	好的，谢谢你。
thank	你好，帮我推荐一家人均消费在50-100元之间的餐馆，最好评分在4.5分以上的，谢谢。
餐馆	宏源南门涮肉(后海店)的周边有啥酒店和餐馆呢？
餐馆	这些餐馆里谁家有那家自制豆腐这道菜，并且能符合人均消费在50-100元的评分是5分的？
餐馆	那家小馆(大兴店)的营业时间是几点到几点？周边有啥景点呢？
酒店	吃完饭该找酒店了，我想找一个能提供24小时热水的酒店，最好价格在500-600元之间，帮我推荐下呗。
酒店	北京宣武门商务酒店是什么类型的呢？
景点	我约了朋友出去玩，帮我推荐一个能玩1个小时左右的景点吧，要评分在4.5分以上的并且免门票费的景点。
景点	御花园的附近有啥景点？
thank	好的，谢谢。
景点	你好，可以帮我推荐一个评分是5分，票价是200元以上的景点吗？
景点	我比较喜欢安静，就去篱苑图书馆好了，知道这个景点周边都有什么酒店吗？
景点	太遗憾了，能把景点的地址告诉我一下吗？
酒店	好的，溜达完我要找一个提供宽带上网和吹风机，价格是1000元以上的酒店住宿，有什么好的地方给我推荐吗？
酒店	哦了，就去这里了，它家评分是多少呀？
酒店	还不错哦，酒店周边有餐馆吗？
餐馆	太好了，我正打算在酒店周边找个评分是4.5分以上，人均消费是100-150元，能吃到局气豆腐的餐馆吃饭呢，知道哪家适合我吗？
餐馆	当然要考虑呀，要不然吃什么呀，餐馆周边都有什么景点呀？
餐馆	挺好呀，这么多好玩的地方可以选择，晚上我打算换个地方吃饭，可以给我推荐一个评分是4.5分以上的餐馆吗？
餐馆	是吗，我就喜欢老字号了，知道它家的营业时间吗？
餐馆	时间还是蛮不错的，它家都有什么推荐菜呀？
thank	OK，我清楚了，谢谢你啊！
餐馆	你好，请给我推荐一家评分5分人均消费150-500元的餐馆吃豆面丸子汤这道菜。
餐馆	该餐馆周边有哪些景点啊？
餐馆	这家餐馆的地址在哪啊？
景点	请给我推荐一个门票价格150-200元可以游玩时长3小时 - 6小时的景点游玩。
景点	这家景点周边有哪些酒店啊？
景点	好的，请告诉我景点的电话是多少？
酒店	游玩结束后，我想找个评分5分有无烟房服务设施的酒店住宿，给我推荐一家吧。
酒店	北京丰荣君华酒店的价格是多少？
酒店	酒店周边有哪些景点啊？
景点	好的，我还想去个门票免费评分5分可以游玩时长2小时 - 3小时的景点游玩，给我推荐一个吧。
景点	找个景点的周边有哪些餐馆？
景点	这个景点的周边有哪些餐馆？
景点	这个景点的电话是多少？
出租	请帮我呼叫一辆从尚大·沃联褔农园到人定湖公园的出租车，告诉我车型和车牌号码。
thank	好的，谢谢你了，没有问题了。
景点	你好，可以帮我推荐一个评分是5分的景点吗？
景点	我打算去地坛，你知道这个景点的地址吗？
景点	好的，这个景点的门票是多少钱呀？
酒店	真便宜呀，溜达完我打算找一个评分是5分的经济型酒店休息，有什么好的地方推荐吗？
酒店	可以啊，那它家周边有餐馆吗？
餐馆	哦，我还打算在酒店周边找个评分是4.5分以上的餐馆吃饭呢，你现在有啥好的建议吗？
餐馆	是吗，那你能帮我查一下它家的营业时间吗？
餐馆	太好了，那它家周边都有啥酒店呢？
thank	哦了，非常感谢！
餐馆	你好，我要去名叫润德轩清真菜馆的餐馆吃饭，能帮我查一下这个餐馆周边都有哪些景点吗？
餐馆	好的，知道这个餐馆的评分是多少吗？
景点	分数好像不是很高呀，吃完饭我打算找个评分是4.5分以上的景点溜达一下，你有什么建议吗？
景点	我无所谓，有个地方就行，就去世界公园吧，知道这里的游玩时间吗？
景点	挺好的，你知道景点周边有酒店吗？
酒店	那还不错，玩累了还可以找地方休息，你能帮我推荐一个提供接待外宾的经济型酒店吗？
酒店	就去7天连锁酒店(北京鸟巢店)吧，你知道地址吗？
酒店	好的，我记一下，那你知道这个酒店的评分是多少吗？
thank	太棒了，谢谢你！
酒店	您好， 请帮我找一家提供看护小孩服务的酒店，并告诉我酒店类型和周边餐馆。
餐馆	我老婆爱吃豌豆黄，周边的餐馆里哪家是人均消费1000元以上的、评分是5分的，有这道菜的呢？
餐馆	可以，地址在哪？营业时间是？
景点	记下了。然后我们想找个景点转转，推荐一家票价是200元以上的、评分是4.5分以上的景点吧，把地址和周边餐馆的信息也告诉我，谢谢。
餐馆	周边餐馆有评分是4.5分以上的、菜希是网红店，人均消费是50元以下的吗？
没有意图	是的。
餐馆	也行，这家什么时间营业？周边有什么餐馆？
thank	谢谢！没有问题了，再见！
餐馆	你好，我想带女朋友去一家评分4分以上的餐馆吃黑百叶这道菜，请给我推荐一家餐馆用餐吧。
餐馆	这家餐馆的周边还有哪些别的餐馆啊？
餐馆	餐馆的营业时间是什么时候 ？
餐馆	请在裕德孚老北京涮羊肉周边的餐馆给我推荐一家评分4.5分以上的餐馆用餐。
餐馆	这家餐馆的人均消费是多少钱啊？
餐馆	餐馆有啥好吃的推荐菜啊？
景点	好的，吃完饭我想去一个评分4.5分以上门票价格150-200元的，可以游玩时间1小时的景点游玩，给推荐一个吧。
景点	这个景点的周边还有哪些别的景点啊？
景点	景点的周边有哪些酒店啊？
thank	好的，谢谢你了啊。
thank	你好，帮我推荐一个人均消费100到150元之间的餐馆，谢谢。
餐馆	他家都有什么推荐菜呢？
餐馆	哦，吃完饭想找个景点转转，周边有吗？推荐一下。
景点	好的，麻烦你再推荐一个评分在4.5分以上，可以玩1、2个小时的景点，谢谢。
景点	好的，地址在哪？
景点	门票多钱？
thank	好的，非常感谢，没有问题了。
景点	你好，可以帮我推荐一个可以玩1小时 - 2小时的景点玩玩吗？
景点	知道这个景点的评分和门票价格吗？
thank	那太好了，谢谢你的推荐哈！
餐馆	你好，你知道哪家餐馆可以吃到八爷烤鸭，小龙虾吗？
餐馆	哦，这家的评分高吗？
餐馆	是的，不低，那人均消费多钱呢？
酒店	价格还挺大众呢，你在帮我找一个酒店吧，5分评分的就行。
酒店	哦，你知道他家的价格和具体地址吗？
景点	好的，吃住都安排完了，还差个4分以上的景点就全了。
景点	好建议，在帮我看一下这个景点的周边有什么餐馆好吗？
景点	好的，有时间我会去吃的，你看一下这个景点的游玩时间是多长啊？
thank	哈哈，谢谢你风趣的解答哈！
酒店	你好，请给我推荐一家价格在300-400元的高档型酒店住宿。
酒店	这家酒店的地址在哪啊？
餐馆	我想找个人均消费100-150元的餐馆吃饭，给我推荐一家吧。
餐馆	这个餐馆的周边有哪些景点啊？
景点	吃完饭，我想在东来顺(前门大街店)周边这个评分5分可以游玩时间1小时的景点游玩，给我推荐一个吧。
景点	这个景点的周边有哪些酒店啊？
景点	好的，请给我推荐一个评分4.5分以上，可以游玩时间0.2小时 - 0.3小时的景点游玩。
景点	这个景点的周边有哪些别的好玩景点啊？
thank	好的，谢谢你了。
酒店	您好，请帮我找一家高档型的、最低价格是100-200元，提供健身房、提供公共区域和部分房间提供wifi的酒店。
酒店	可以。这个酒店评分是多少？周边有什么景点？
景点	这两个景点哪个评分是4.5分以上，票价是50-100元，可以玩1小时呢？
景点	好吧，它周边有什么餐馆吗？
餐馆	周末我请朋友吃饭，帮我找一家评分在4.5分以上，人均消费是50-100元，有刺身拼盘这道菜的餐馆，谢谢！
餐馆	可以，请问这家餐馆的电话是？营业时间什么时候？
景点	接下来我们准备找个地方一起玩，中间有1小时 - 2小时的时间，您给我们推荐一个吧，票价最好在200元以上。
景点	可以，电话是多少？
thank	谢谢！没有问题了，再见！
餐馆	你好，请帮我找一家人均消费在1000元以上的餐馆，我想吃的菜是精选烤鸭，帮我推荐下呗。
餐馆	好的，全聚德(和平门店)的地址在哪呢，评分是多少？
景点	好的，吃完饭我想找一个评分是5分的景点，帮我推荐一下。
景点	好的，武英殿（书画馆）的电话和地址帮我查询下。
thank	好的，谢谢。
酒店	你好，我想带女朋友去一家评分5分价格100-200元的，有吹风机服务的酒店住宿，给推荐一家吧。
酒店	酒店的周边有哪些景点啊？
酒店	这家酒店是什么类型啊？
thank	好的，谢谢你了啊。
酒店	4.5分以上的高档酒店，你认为哪家好？
酒店	那里附近有什么景点可以解解闷？
thank	好的，谢谢。
餐馆	你好，可以帮我找一个人均消费是50-100元，能吃到草莓的餐馆吗？
餐馆	好的，它家周边有酒店吗？
餐馆	没关系，那你能帮我查一下这个餐馆的评分是多少吗？
景点	好像还不错，吃完饭我想找个评分是4.5分以上，票价是200元以上的景点游玩，给推荐一个呗。
景点	必须的，就去这里玩了，这个景点周边还有别的景点吗？
景点	太好了，一会我还想在这个景点周边找一个游玩时长是1小时 - 2小时，评分是4分以上的景点接着玩，你能帮我推荐一个吗？
景点	好，那就去明十三陵好了，它周边还有其他景点吗？
景点	不错哦，那这个景点周边都有什么餐馆呀？
酒店	好的，溜达完我需要找一个评分4分以上，提供行李寄存和早餐服务的酒店住宿，能帮我推荐一个吗？
酒店	行啊，这个酒店是什么类型的呀？
地铁	我想乘地铁从乐多港奇幻乐园到北京王府半岛酒店，能帮我查一下出发地和目的地附近地铁站分别是什么吗？
thank	OK，我知道了，谢谢你啊！
酒店	你好，我想找一个评分是4.5分以上，最低价格是200-300元的酒店住宿，你觉得哪家比较好？
酒店	我觉得挺好的，锦江之星(北京广安门店)就很不错，能把它家的地址传给我吗？
景点	好的我记下了，住的地方解决了，我想出去溜达溜达，你知道哪个景点票价是免费，游玩时长是2小时 - 3小时吗？
景点	那就去念坛公园吧，这个景点周边有餐馆吗？
餐馆	好的，你可以帮我推荐一个评分是5分，能吃到板筋的餐馆吗？
餐馆	好呀，4.7分也很高了，它家周边有好玩的景点吗？
thank	收到，这下可有地方玩了，谢谢你啊！
餐馆	你好，我想带女朋友去一家评分5分人均消费100-150元的餐馆吃辣子鸡，给我推荐一家餐馆用餐吧。
餐馆	这家餐馆的周边有哪些做菜好吃的餐馆啊？
餐馆	餐馆的周边有哪些酒店啊？
餐馆	请在金玖食府周边给我推荐一家评分4.5分以上的酒店住宿。
酒店	这家酒店是否有吹风机和暖气服务设施？
酒店	这家酒店的地址是在哪啊？
景点	我想找一个评分4.5分以上游玩时间3小时 - 4小时的景点游玩，给我推荐一个吧。
景点	这个景点的周边有哪些好玩的景点啊？
景点	景点的地址是在哪啊？
酒店	游玩结束后我想找一家最低价格1000元以上有国际长途电话和早餐服务的酒店住宿，给我推荐一家吧。
酒店	这家酒店的电话是多少啊？
酒店	酒店的周边有哪些餐馆啊？
餐馆	请在北京饭店周边的餐馆里给我推荐一家评分4分以上人均消费1000元以上的餐馆吃饭。
餐馆	这家餐馆的周边有哪些别的餐馆啊？
餐馆	餐馆的周边有哪些景点啊？
thank	好的，谢谢你了啊。
餐馆	你好，我朋友特想吃宜宾燃面，麻烦你帮我找个有这个菜的餐馆，我希望餐馆的人均消费是100-150元。
餐馆	嗯，这个餐馆的附近有啥好的酒店吗，环境还是相对好一点的。
酒店	那在这些酒店里哪个提供接机服务，评分是4.5分以上的？
酒店	那谁家有棋盘室，好几天没打牌了，手都痒痒了。
酒店	嗯，接受您的建议，那这个酒店的电话是多少，方便给我们吗？
酒店	好的，那这个酒店的就近有啥好吃的餐馆吗，我们想换换口味。
酒店	嗯嗯，麻烦你帮我找个评分是4.5分以上的酒店，很喜欢去住各种酒店。
酒店	北京百富怡大酒店酒店设施是否包含所有房间提供wifi？
酒店	嗯，出来玩也不能带那么多衣服，这个酒店有洗衣服务吗？
酒店	非常好，这个酒店的价格是多少？
地铁	从金鼎轩·南北菜(地坛店）到北京百富怡大酒店乘坐地铁的话，出发地和目的地附近的地铁站分别是什么？
thank	没关系的，非常感谢你。
景点	你好，请帮我推荐一个门票在20-50元可以游玩时长1小时的景点。
景点	请问该景点周边都有哪些餐馆？
餐馆	好的，请在周边餐馆给我推荐一家人均消费50-100元有烤全羊这道菜的餐馆。
餐馆	好的，请问这家餐馆的地址是？
餐馆	餐馆周边都有哪些酒店呢？
餐馆	好的，请帮我推荐一家人均消费是50-100元评分45分以上的餐馆吧。
餐馆	好的，请问餐馆的营业时间是？
餐馆	餐馆周边还有哪些餐馆？
地铁	好的，我想从人民大会堂乘坐地铁到故宫餐厅，请告诉我出发地和目的地附近的地铁站。
酒店	我想去一个评分4.5分以上有中式餐厅服务设施的酒店，帮我推荐一家吧。
酒店	好的，请问该酒店周边都有哪些餐馆啊？
酒店	该酒店的电话是多少？
thank	好的，谢谢了。
景点	你好，请给我推荐一个评分4.5分以上门票免费，可以游玩时间3小时 - 4小时的景点游玩。
景点	这个景点周边有哪些酒店啊？
景点	景点的电话是多少啊？
餐馆	我想去餐馆去鱼香肉丝饭、咖喱鸡鱼香双拼这俩菜，请给我推荐一家餐馆用餐。
餐馆	这家餐馆的人均消费是多少钱？
餐馆	餐馆的周边有哪些酒店啊？
酒店	请给我推荐一家评分5分最低价格在200-300元的经济型酒店住宿。
酒店	这家酒店的电话是多少啊？
酒店	酒店的周边有哪些餐馆啊？
餐馆	我想找家人均消费100-150元的餐馆吃清江鱼这道菜，给我推荐一家餐馆用餐吧。
餐馆	这家餐馆的地址是在哪啊？
餐馆	餐馆的周边有哪些景点啊？
出租	好的，请帮我呼叫一辆从民族文化宫到苗乡楼贵州味道(龙德广场店)的出租车，告诉我车型和车牌号。
thank	好的，谢谢你了。
景点	我想去个游玩的时长是1小时 - 2小时、票价是150-200元的景点，推荐个呗？
景点	时间有点短，它附近还有什么景点吗？
景点	白乙化烈士纪念馆联系电话是多少号？
景点	白乙化烈士纪念馆周边有没有游玩的时长是3小时 - 5小时的景点？希望景点的票价是免费的。
景点	可以，它的地址在哪？
thank	多谢了。
景点	你好，可以帮我找一个游玩时长是0.3小时 - 0.3小时，票价是20-50元的景点吗？
景点	好呀，就去这里吧，景点评分是多少啊？
酒店	那好吧，溜达完我想找个评分是4分以上，价格是900-1000元的酒店住宿，给推荐一个呗。
酒店	可以，那麻烦你帮我查一下这个酒店的电话。
地铁	收到，我打算乘地铁从淳亲王府到北京国宾酒店，能告诉我一下出发地和目的地附近地铁站分别是什么吗？
thank	哦了，我知道了，真是太谢谢你了！
酒店	你好，能帮我找一家酒店吗？ 我希望它是4.5分以上，最低消费为1000元以上的中式餐厅。
酒店	哦，听名字就很不错啦，这个酒店是什么类型的呢？
thank	好的，我就喜欢这个类型的，谢谢你！
酒店	你好，请给我推荐一家最低价格在400-500元的经济型酒店住宿。
酒店	这家酒店的评分多少？
酒店	酒店是否有24小时热水和吹风机服务。
景点	我想去一个可以游玩时间2小时 - 3小时门票免费的景点游玩，给我推荐一个好玩的景点吧。
景点	这个景点的周边有哪些别的景点啊？
景点	景点的地址是在哪里啊？
餐馆	好的，游玩结束后我想去个评分4.5分以上的餐馆吃炒红果和炸藕盒这俩菜，给我推荐一家餐馆用餐吧。
餐馆	这家餐馆的地址是在哪啊？
餐馆	餐馆的周边有哪些景点啊？
景点	好的，吃完饭我想找个评分4.5分以上游玩时间0.7小时 - 0.8小时的景点游玩，请在天兴居周边的景点里给我推荐一个。
